,mondoid,disease,Mondo Object Type,Mondo Object pmid,Mondo Object label
0,MONDO:0011308,N/A,PMID,20518024,PMID:20518024
1,MONDO:0011308,N/A,PMID,21274865,PMID:21274865
2,MONDO:0011308,N/A,PMID,19285991,PMID:19285991
3,MONDO:0011308,N/A,PMID,26489029,PMID:26489029
4,MONDO:0011308,N/A,PMID,25895478,PMID:25895478
5,MONDO:0011308,N/A,PMID,23892085,PMID:23892085
6,MONDO:0011308,N/A,PMID,24236502,PMID:24236502
7,MONDO:0011308,N/A,PMID,28105683,PMID:28105683
8,MONDO:0011308,N/A,PMID,22277166,PMID:22277166
9,MONDO:0011308,N/A,PMID,24655110,PMID:24655110
10,MONDO:0011308,N/A,PMID,25914718,PMID:25914718
11,MONDO:0011308,N/A,PMID,12215968,PMID:12215968
12,MONDO:0011308,N/A,PMID,18771761,PMID:18771761
13,MONDO:0011308,N/A,PMID,12910490,PMID:12910490
14,MONDO:0011308,N/A,PMID,17314340,PMID:17314340
15,MONDO:0011308,N/A,PMID,11528392,PMID:11528392
16,MONDO:0008693,N/A,PMID,31308550,PMID:31308550
17,MONDO:0008693,N/A,PMID,19123269,PMID:19123269
18,MONDO:0008693,N/A,PMID,17897480,PMID:17897480
19,MONDO:0008693,N/A,PMID,16845399,PMID:16845399
20,MONDO:0008693,N/A,PMID,1570894,DNA Fingerprinting in Cattle Using the Probe pV47
21,MONDO:0008693,N/A,BNODE,omiaarticlekey1392,[Determining blood groups in Swiss Brown cattle]
22,MONDO:0008693,N/A,PMID,1548200,"Phenotypic and Genetic Relationships Between Residual Energy  Intake and Growth, Feed Intake, and Carcass Traits of Young  Bulls"
23,MONDO:0008693,N/A,PMID,2345201,Inheritance of Calf Mortality for Brown Swiss Cattle
24,MONDO:0008693,N/A,PMID,17423028,Bovine Progressive Degenerative Myeloencephalopathy (Weaver Syndrome) in Brown Swiss Cattle in Canada: A Literature Review and Case Report.
25,MONDO:0008693,N/A,PMID,5656922,Smooth tongue in Brown Swiss cattle
26,MONDO:0008693,N/A,BNODE,omiaarticlekey5691,Albinism among Brown Swiss cattle
27,MONDO:0008693,N/A,BNODE,omiaarticlekey3723,Recessive colouration in Dutch Belted cattle
28,MONDO:0008693,N/A,BNODE,omiaarticlekey11380,Genetic Analysis of Cattle Coat Color from Crossbreds with  Swiss Brown
29,MONDO:0008693,N/A,BNODE,omiaarticlekey776,"Physiological responses of Holstein, Brown Swiss and Red Sindhi crossbred bulls exposed to high temperatures and humidities"
30,MONDO:0008693,N/A,PMID,8507715,Review of Spinal Muscular Atrophy (SMA) in Brown Swiss Cattle
31,MONDO:0008693,N/A,BNODE,omiaarticlekey5211,Congenital debility in cattle
32,MONDO:0008693,N/A,PMID,8270703,Genetic Parameters of Italian Brown Swiss for Levels of Herd  Yield
33,MONDO:0008693,N/A,BNODE,omiaarticlekey33293,Electron Microscopic Studies of Bovine Progressive  Degenerative Myeloencephalopathy in Brown Swiss Cattle
