,gardid,disease,pmid,pubTypes,title,url,abstract
0,GARD:0002015,Dysostosis peripheral,2148053,"['Journal Article', 'Case Reports']",Combined deficiency of beta-galactosidase and neuraminidase: natural history of the disease in the first 18 years of an American patient with late infantile onset form.,https://pubmed.ncbi.nlm.nih.gov/2148053,"We describe the clinical findings over the first 18 years of a patient with a novel phenotype for galactosialidosis, the storage disease produced by the combined deficiency of beta-galactosidase and neuraminidase. Clinical findings in the first few months included somewhat unusual appearance and hepatosplenomegaly. Dysostosis multiplex was evident by age 2 1/2 years. Mitral and aortic valvular disease appeared over the next few years and cardiac disease has become the most important clinical problem. Foam cells were present in the bone marrow, and vacuolated lymphocytes were present in the peripheral blood smear. The patient had no neurological symptoms, cherry red spots, or intellectual deterioration during the first 18 years. Evidence presented elsewhere indicates that the basic defect in this late infantile form of galactosialidosis (as is thought to be true for the other forms of galactosialidosis) is a reduced amount of the 32 kDa phosphoglycoprotein which associates with beta-galactosidase and alpha-neuraminidase in lysosomes."
1,GARD:0002016,Craniofacial dysostosis with diaphyseal hyperplasia,N/A,N/A,,N/A,N/A
2,GARD:0002019,Dysplasia epiphysealis hemimelica,29252895,"['Journal Article', 'Case Reports']",The Natural History of the Development of Trevor Disease of the Hip and Subsequent Arthroplasty: A Case Report.,https://pubmed.ncbi.nlm.nih.gov/29252895,"CASE:Trevor disease (dysplasia epiphysealis hemimelica [DEH]) is a rare, intra-articular anomaly of cartilaginous overgrowth of the epiphysis. The usual presentation is on 1 side of the body and on 1 side of the epiphysis. The natural history of this disease is not clear because the lesions often are treated during childhood. Additionally, hip involvement is relatively uncommon; to our knowledge, total hip arthroplasty in a patient with DEH has not been reported previously. Our patient presented with previously untreated DEH of the hip joint, which had developed into a very unusual shape. He was treated with a total hip arthroplasty and had satisfactory functioning 2.5 years postsurgery. CONCLUSION:Untreated DEH of the hip can lead to a very misshapen hip with a deformed femoral head and loss of the shape of the acetabulum, as well as stiffness due to an unusual shape and osteoarthritic changes. A total hip arthroplasty can give satisfactory functional results."
3,GARD:0002022,Dysplastic cortical hyperostosis,N/A,N/A,,N/A,N/A
4,GARD:0002025,Dyssegmental dysplasia and glaucoma,N/A,N/A,,N/A,N/A
5,GARD:0002026,Dyssegmental dysplasia Silverman-Handmaker type,9450878,"['Review', 'Journal Article', 'Case Reports']",Dyssegmental dysplasia Silverman-Handmaker type in a consanguineous Druze Lebanese family: long term survival and documentation of the natural history.,https://pubmed.ncbi.nlm.nih.gov/9450878,"We report on a male infant born with clinical and radiographic evidence of a lethal form of dyssegmental dysplasia not comparable to Silverman-Handmaker type, who had a prolonged survival of more than eight months. He had ocular and central nervous system abnormalities which have not been previously described. His course included significant feeding and respiratory difficulties, severe physical and psychomotor retardation, and recurrent fever of unknown etiology believed to be of central origin. The relatively long survival of this infant enabled us to focus on the natural history of this rare syndrome. The infant was born to first cousin parents of Druze Lebanese origin supporting an autosomal recessive mode of inheritance for the condition. This is the first documentation of dyssegmental dysplasia Silverman-Handmaker type in a family of Druze Lebanese ethnicity."
6,GARD:0002027,DYT-TOR1A,N/A,N/A,,N/A,N/A
7,GARD:0002028,"Dystonia 2, torsion, autosomal recessive",N/A,N/A,,N/A,N/A
8,GARD:0002031,Dystrophinopathy,31794463,"['Review', 'Journal Article', 'Case Reports']",The Dystrophinopathies.,https://pubmed.ncbi.nlm.nih.gov/31794463,"PURPOSE OF REVIEW:The dystrophinopathies are among the most common neuromuscular conditions, and they include Duchenne and Becker muscular dystrophies. This article reviews the epidemiology, clinical manifestations, genetic cause, management, and new and emerging therapies for this condition. RECENT FINDINGS:New studies have highlighted how oral corticosteroids have changed the natural history of the disease, prolonging ambulation in boys with Duchenne muscular dystrophy and reducing the risk of developing scoliosis and subsequent surgical correction, improving cardiac health, and increasing long-term survival. Additionally, recent publications have provided insights into how newer and emerging treatment options are becoming more common for this condition. With gene therapy being approved in the United States for the severe form, the dystrophinopathies represent model diseases to understand the personalization of genetic treatment. SUMMARY:Improvement in the standardization of care and the use of oral corticosteroids have increased the life expectancy of patients with dystrophinopathy and changed the natural history of the disease. This article presents a summary of clinical features, diagnostic testing, and new and emerging treatment strategies for the dystrophinopathies."
9,GARD:0002031,Dystrophinopathy,29973226,"[""Research Support, Non-U.S. Gov't"", 'research-article', 'Journal Article']",Comprehensive genetic characteristics of dystrophinopathies in China.,https://pubmed.ncbi.nlm.nih.gov/29973226,"BACKGROUND:Dystrophinopathies are a set of severe and incurable X-linked neuromuscular disorders caused by mutations in the dystrophin gene (DMD). These mutations form a complex spectrum. A national registration network is essential not only to provide more information about the prevalence and natural history of the disease, but also to collect genetic data for analyzing the mutational spectrum. This information is extremely beneficial for basic scientific research, genetic diagnosis, trial planning, clinical care, and gene therapy. METHODS:We collected data from 1400 patients (1042 patients with confirmed unrelated Duchenne muscular dystrophy [DMD] or Becker muscular dystrophy [BMD]) registered in the Chinese Genetic Disease Registry from March 2012 to August 2017 and analyzed the genetic mutational characteristics of these patients. RESULTS:Large deletions were the most frequent type of mutation (72.2%), followed by nonsense mutations (11.9%), exon duplications (8.8%), small deletions (3.0%), splice-site mutations (2.1%), small insertions (1.3%), missense mutations (0.6%), and a combination mutation of a deletion and a duplication (0.1%). Exon 45-50 deletion was the most frequent deletion type, while exon 2 duplication was the most common duplication type. Two deletion hotspots were calculated-one located toward the central part (exon 45-52) of the gene and the other toward the 5'end (exon 8-26). We found no significant difference between hereditary and de novo mutations on deletion hotspots. Nonsense mutations accounted for 62.9% of all small mutations (197 patients). CONCLUSION:We built a comprehensive national dystrophinopathy mutation database in China, which is essential for basic and clinical research in this field. The mutational spectrum and characteristics of this DMD/BMD group were largely consistent with those in previous international DMD/BMD studies, with some differences. Based on our results, about 12% of DMD/BMD patients with nonsense mutations may benefit from stop codon read-through therapy. Additionally, the top three targets for exon-skipping therapy are exon 51 (141, 13.5%), exon 53 (115, 11.0%), and exon 45 (84, 8.0%)."
