Id,GardId,Disease,PMId,Publication Types,Title,URL,Abstract,Natural History Study
0,GARD:0000003,Ablepharon macrostomia syndrome,11807864,"['Journal Article', 'Case Reports']",Ablepharon-macrostomia syndrome.,https://pubmed.ncbi.nlm.nih.gov/11807864,"We report three new cases of ablepharon-macrostomia syndrome (AMS) and give a 10-year follow-up on a newborn reported in an abstract. These four patients, as well as those previously reported, all had absent hair, brows, and lashes, absent or short eyelids, macrostomia, ear anomalies, redundant skin, and abnormal genitalia. Many have persistent visual problems, often related to early corneal exposure. Hearing loss, poor hair growth, finger contractures, and growth retardation were also chronic problems. Developmental impairment was present in two-thirds of patients but was usually mild. This report contributes to our knowledge regarding the natural history of AMS and includes the first report of an adult patient. It also adds further evidence that AMS is distinct from Barber-Say syndrome, which has similar features.",
1,GARD:0000005,Abetalipoproteinemia,9600371,"['Journal Article', 'Case Reports']","A-beta-lipoproteinemia: clinical and laboratory features, therapeutic manipulations, and follow-up study of three members of a Greek family.",https://pubmed.ncbi.nlm.nih.gov/9600371,"We describe the clinicoepidemiologic features, natural history, and therapeutic manipulations in three Greek patients with A-beta-lipoproteinemia (two brothers aged 15 and 29 years, respectively, and one sister aged 30 years). Diarrhea started in infancy in the two brothers and from the age of 13 in the sister. During the second decade of life, central nervous system symptoms became prominent, with fatigue and disturbance in gait and balance. Night blindness developed at a later phase of the disease in the brothers, whereas cavus developed in both legs in the sister. Apolipoprotein B was absent in all patients, and each had more than 50% of acanthocytes present on peripheral smear. The diagnosis of A-beta-lipoproteinemia was established on the basis of small bowel histology and serum lipid estimations. Family studies revealed normal lipid profiles in all healthy members. The human leukocyte antigen (HLA) pattern in the two most severely affected patients was identical. The only detectable difference between the severely ill patients and other members of the family, however, was homozygosity for the HLA B18 antigen, whereas the third patient had no alleles for the HLA B18 antigen. Treatment consisted of a low-fat diet and high doses of vitamins A and E. A modified diet substituting medium-chain triglycerides for dietary fat was also given, with significant improvement in the nutritional status of patients but not in symptoms related to advanced disease, such as retinal and cardiac manifestations. We conclude that the course of the disease in untreated patients is characterized by continuous symptoms. Some of the symptoms, however, especially those related to malabsorption, as well as some anthropometric parameters can be improved by the application of a modified diet including medium-chain triglycerides. We suggest the routine measurement of plasma lipids and apoproteins not only in children with failure to thrive, with unexplained malabsorption, or with neurologic symptoms, but also in adults with chronic diarrhea accompanied by neurologic symptoms or clinical and laboratory signs of malabsorption.",
2,GARD:0000007,Acromicric dysplasia,28077185,"['Journal Article', 'Case Reports']",Rapidly progressive mitral valve stenosis in patients with acromelic dysplasia.,https://pubmed.ncbi.nlm.nih.gov/28077185,"Acromelic dysplasias are a group of skeletal dysplasias characterised by short-limbed short stature with other distinctive phenotypic features including small hands and feet and stiff joints. Geleophysic dysplasia is an acromelic dysplasia that is associated with characteristic facial features, progressive cardiac valvular thickening, and tracheal stenosis. Owing to overlapping clinical features with other types of short-limbed skeletal dysplasias, it is important to make a precise diagnosis as they have different cardiac morbidity and mortality. We present the cases of three patients with geleophysic dysplasia and progressive mitral valve disease to emphasise the natural history of this disorder and provide guidance regarding cardiac health supervision in these individuals.",
3,GARD:0000008,Agnosia,24870331,['Journal Article'],The hawkmoth fauna of Pakistan (Lepidoptera: Sphingidae).,https://pubmed.ncbi.nlm.nih.gov/24870331,"This study represents the first complete modern account of the Sphingidae of Pakistan and takes the form of an annotated checklist, based on several national collections and those of a number of individuals. Of the 60 species and subspecies found, 14 are new records to the fauna of Pakistan, namely Agnosia orneus, Langia zenzeroides subsp. zenzeroides, Polyptychus trilineatus subsp. trilineatus, Dolbina inexacta, Ambulyx sericeipennis subsp. sericeipennis, Thamnoecha uniformis, Macroglossum belis, Macroglossum stellatarum, Cechetra scotti, Hippotion boerhaviae, Hyles euphorbiae subsp. euphorbiae, Rhagastis olivacea, Rethera brandti subsp. euteles and Theretra latreillii subsp. lucasii. Anambulyx elwesi subsp. kitchingi and Clanis deucalion subsp. thomaswitti are not recognised as valid subspecies and are synonymized with their respective nominotypical subspecies. An additional list is given of 30 taxa which may yet be found in Pakistan as they are present in neighbouring countries close to the border. Of the species/subspecies found, 24 are part of the Palaearctic fauna, 27 are part of the Oriental fauna and nine are Palaeo-Oriental/Palaeotropical. This reconfirms the transitional biogeographical position of the Pakistan fauna.",
4,GARD:0000008,Agnosia,23933572,"['Research Support, N.I.H., Intramural', 'review-article', 'Review', 'Journal Article', 'Research Support, N.I.H., Extramural']",Research on the premotor symptoms of Parkinson's disease: clinical and etiological implications.,https://pubmed.ncbi.nlm.nih.gov/23933572,"BACKGROUND:The etiology and natural history of Parkinson's disease (PD) are not well understood. Some non-motor symptoms such as hyposmia, rapid eye movement sleep behavior disorder, and constipation may develop during the prodromal stage of PD and precede PD diagnosis by years. OBJECTIVES:We examined the promise and pitfalls of research on premotor symptoms of PD and developed priorities and strategies to understand their clinical and etiological implications. METHODS:This review was based on a workshop, Parkinson's Disease Premotor Symptom Symposium, held 7-8 June 2012 at the National Institute of Environmental Health Sciences in Research Triangle Park, North Carolina. DISCUSSION:Research on premotor symptoms of PD may offer an excellent opportunity to characterize high-risk populations and to better understand PD etiology. Such research may lead to evaluation of novel etiological hypotheses such as the possibility that environmental toxicants or viruses may initiate PD pathogenesis in the gastrointestinal tract or olfactory bulb. At present, our understanding of premotor symptoms of PD is in its infancy and faces many obstacles. These symptoms are often not specific to PD and have low positive predictive value for early PD diagnosis. Further, the pathological bases and biological mechanisms of these premotor symptoms and their relevance to PD pathogenesis are poorly understood. CONCLUSION:This is an emerging research area with important data gaps to be filled. Future research is needed to understand the prevalence of multiple premotor symptoms and their etiological relevance to PD. Animal experiments and mechanistic studies will further understanding of the biology of these premotor symptoms and test novel etiological hypothesis.",
5,GARD:0000008,Agnosia,17028557,"['Review', 'Journal Article', 'English Abstract']",[From physiopathology to treatment of Alzheimer's disease].,https://pubmed.ncbi.nlm.nih.gov/17028557,"The natural and molecular history of familial or sporadic Alzheimer's disease (AD) shows that APP (amyloid protein precursor) dysfunction is a consensual central etiological factor in Alzheimer's disease (AD). This is demonstrated by 1) genetic defects involving APP gene or APP dysfunction (such as PS1 or PS2), leading to the formation of neocortical amyloid plaques in familial AD; 2) transgenic mice with these mutated genes that develop plaques; 3) both sporadic and familial AD develop plaques. But two alternatives to explain the physiopathology can be proposed: a gain of toxic function of AB peptide (reflected by the amyloid cascade hypothesis) or a loss of function of APP, a ubiquitous and well conserved protein with numerous possible neurotrophic activities. On the other hand, AD is also characterized by another inescapable degenerating process: tauopathy, an intraneuronal aggregation of tau proteins into neurofibrillary tangles. Remarkably enough, progression of tauopathy in neocortical areas fully explains the progressive clinical deficits of AD, from memory loss to aphasia, apraxia, agnosia. Also one has to bare in mind that most demented patients and most dementing neurodegenerative disorders have a tauopathy. From that, it is concluded that APP an Tau are solid therapeutic targets. But if we know that APP and Tau dysfunctions interact to boost neurodegeneration in AD, we still do no know what are the intraneuronal signaling pathways to activate or to inhibit to stop the degenerating process. There are many hypotheses and many possible approaches: the inhibition of toxicity of plaque, of AB protofibrils, or of AB oligomers inside or outside the neuron, using vaccination or ligands (Alzhemed). On the other hand, modulation of secretases that cleave APP by inhibiting those involved in the amyloidogenic pathway or by stimulating those of the non-amyloidogenic pathway, is a major route of research. Also modulation of kinases or phosphatases possibly involved in the aggregation of tau is also investigated. Because animal models are not perfectly relevant, at the end of the long and costly pathway of drug discovery, therapeutic trials are the only way to test these different hypotheses.",
6,GARD:0000008,Agnosia,9754238,"['Review', 'Journal Article', 'English Abstract']",[Diagnosis of Alzheimer's disease],https://pubmed.ncbi.nlm.nih.gov/9754238,"Alzheimer's disease is a neurodegenerative disorder leading to cognitive impairment (amnesia, aphasia, apraxia and agnosia). The prevalence of this age related disabling illness is increasing. During the course of the disease, the clinical diagnosis will be that of ""possible Alzheimer's disease"", then ""probable Alzheimer's disease"". But the diagnosis of ""definite Alzheimer's disease"" requires a post-mortem brain examination and the demonstration of numerous senile plaques and neurofibrillary tangles in hippocampal and association cortical areas. The neuropathological examination confirms probable Alzheimer's disease clinical diagnosis in 85% of the cases examined in medical schools. However, with much more than 15% errors, the early diagnosis of Alzheimer's disease must be improved since it is a key factor for the therapeutic approach, and more especially for the efficiency of drug trials. At the present time, there are new leads for a biological diagnosis in the blood or the CSF. However, the natural (and molecular) history of Alzheimer's disease points out that all biochemical dysfunctions remain in the CNS, and more particularly in association brain areas. This is demonstrated using reliable biochemical markers such as A beta and pathological Tau proteins, which are the basic components of amyloid deposits and neurofibrillary tangles, respectively. Also, a genetic diagnosis can be performed in half of familial autosomic dominant Alzheimer's disease, which represents less than 1% of all Alzheimer's disease cases. Together, this shows that there is a lack of reliable Alzheimer's disease markers. The search for new specific markers (clinical, epidemiological, genetic, biochemical, biological) must go on.",
7,GARD:0000008,Agnosia,1291910,"['Journal Article', 'English Abstract', 'Case Reports']",[Subacute sclerosing panencephalitis pregnancy].,https://pubmed.ncbi.nlm.nih.gov/1291910,"In a patient aged 16 behaviour at changes, followed by visual agnosia, aphasia, paraparesis and involuntary movements developed about the 24th week of pregnancy. The presence of measles virus antibodies in the cerebrospinal fluid and progressing course of the disease with fever suggested SSPE. Pregnancy was terminated by caesarean section in the 30th week of pregnancy, the male premature baby died after 4 days, his brain was not examined under microscope. The mother died 2 weeks after labour in decerebrate rigidity. In the brain numerous profuse infiltrations composed of lymphocytes and plasma cells were found around blood vessels, the glia was proliferated and hypertrophied, eosinophilic inclusions were demonstrated in the nucleic of cortical neurons. The authors review the very few case, reported as yet, of SSPE in pregnant women. During pregnancy natural immunosuppression occurs, which may lead to activation of dormant infection with measles virus mutant. However, the history of one of the published cases suggests the possibility of other pathogenetic factors active in such cases.",
8,GARD:0000011,Alternating hemiplegia of childhood,20974617,"[""Research Support, Non-U.S. Gov't"", 'Journal Article']",Evidence of a non-progressive course of alternating hemiplegia of childhood: study of a large cohort of children and adults.,https://pubmed.ncbi.nlm.nih.gov/20974617,"Alternating hemiplegia of childhood is a neurological disorder characterized by episodes of hemiplegia, various non-epileptic paroxysmal events and global neurological impairment. Characterization of the evolution and outcome into adulthood has not been sufficiently investigated. The goal of this study was to elucidate the natural history of alternating hemiplegia within a large cohort of 157 patients, as part of the European Network for Research on Alternating Hemiplegia project. A questionnaire was formulated to determine the severity of both paroxysmal and global neurological impairment and address progression of the disorder by allocating data to specific age epochs up to and over 24 years of age. Patients in early age groups were consistently present in subsequent later age groups and for each patient, data were collected for each corresponding age epoch. The study was based on predominantly retrospective and, for a period of 2 years, prospective data. At inclusion, patients were aged from 9 months to 52 years. The median age at diagnosis was 20 months. All patients experienced hemiplegic attacks; 86.5% reported episodes of bilateral weakness, 88% dystonic attacks, 53% epileptic seizures, 72% developed chorea and/or dystonia and 92% mental retardation. When data over the course of the illness were examined for the whole cohort, the severity of symptoms did not appear to change, with the exception of abnormal ocular movements and hypotonia that regressed, but did not disappear into adulthood (from 86 to 36% and 76 to 36%, respectively). No statistically significant correlation between a history of severe paroxysmal hemiplegic/dystonic episodes and a worse neurological outcome was identified. Seven patients died, some of whom experienced severe plegic attacks or epileptic seizures at the time of death. History of severe plegic/dystonic attacks was not found to be an aggravating factor for deceased patients. Our results provide evidence that the natural history of alternating hemiplegia is highly variable and unpredictable for individual patients. However, we did not find evidence to support a steadily progressive and degenerative course of the disorder when patients were analysed as a group. For a minority of patients, a risk of sudden death was associated with more severe neurological impairment. The European Network for Research on Alternating Hemiplegia Registry, validated by our study, includes all major neurological signs and symptoms of alternating hemiplegia and may thus be used as a precedent for the progressive inclusion and follow-up of patients as well as a reference for genetic studies and treatment trials.",
9,GARD:0000012,Hypersensitivity pneumonitis,31771541,"['research-article', 'Multicenter Study', 'Journal Article']",Baseline characteristics and comorbidities in the CAnadian REgistry for Pulmonary Fibrosis.,https://pubmed.ncbi.nlm.nih.gov/31771541,"BACKGROUND:The CAnadian REgistry for Pulmonary Fibrosis (CARE-PF) is a multi-center, prospective registry designed to study the natural history of fibrotic interstitial lung disease (ILD) in adults. The aim of this cross-sectional sub-study was to describe the baseline characteristics, risk factors, and comorbidities of patients enrolled in CARE-PF to date. METHODS:Patients completed study questionnaires and clinical measurements at enrollment and each follow-up visit. Environmental exposures were assessed by patient self-report and comorbidities by the Charlson Comorbidity Index (CCI). Baseline characteristics, exposures, and comorbidities were described for the overall study population and for incident cases, and were compared across ILD subtypes. RESULTS:The full cohort included 1285 patients with ILD (961 incident cases (74.8%)). Diagnoses included connective tissue disease-associated ILD (33.3%), idiopathic pulmonary fibrosis (IPF) (24.7%), unclassifiable ILD (22.3%), chronic hypersensitivity pneumonitis (HP) (7.5%), sarcoidosis (3.2%), non-IPF idiopathic interstitial pneumonias (3.0%, including idiopathic nonspecific interstitial pneumonia (NSIP) in 0.9%), and other ILDs (6.0%). Patient-reported exposures were most frequent amongst chronic HP, but common across all ILD subtypes. The CCI was ≤2 in 81% of patients, with a narrow distribution and range of values. CONCLUSIONS:CTD-ILD, IPF, and unclassifiable ILD made up 80% of ILD diagnoses at ILD referral centers in Canada, while idiopathic NSIP was rare when adhering to recommended diagnostic criteria. CCI had a very narrow distribution across our cohort suggesting it may be a poor discriminator in assessing the impact of comorbidities on patients with ILD.",
