,gardid,disease,pmid,pubTypes,title,url,abstract
0,GARD:0001883,Dissecting cellulitis of the scalp,24284093,"['Review', 'Journal Article', 'Case Reports']",Successful treatment of recalcitrant dissecting cellulitis of the scalp with ALA-PDT: case report and literature review.,https://pubmed.ncbi.nlm.nih.gov/24284093,"A case of refractory dissecting cellulitis of the scalp (DCS) in a forty-one-year-old Chinese female patient was treated with a total of 6 sessions of topical ALA-PDT at one week intervals. The patient tolerated and responded well to this new approach without any adverse events. This suggested that topical ALA-PDT could be an effective and safe alternative for DCS patients who were refractory to other conventional therapies. We also reviewed etiology, pathophysiology, natural history and treatment options for DCS."
1,GARD:0001883,Dissecting cellulitis of the scalp,19554179,"['Case Reports', 'case-report']",Management of fulminant dissecting cellulitis of the scalp in the pediatric population: Case report and literature review.,https://pubmed.ncbi.nlm.nih.gov/19554179,"A case of fulminant dissecting cellulitis of the scalp in a fifteen-year-old African American male is reported. The presentation was refractory to standard medical treatment such that treatment required radical subgaleal excision of the entire hair-bearing scalp. Reconstruction was in the form of split-thickness skin grafting at the level of the pericranium following several days of vacuum-assisted closure dressing to promote an acceptable wound bed for skin grafting and to ensure appropriate clearance of infection. Numerous nonsurgical modalities have been described for the treatment of dissecting cellulitis of the scalp, with surgical intervention reserved for patients refractory to medical treatment. The present paper reports a fulminant form of the disease in an atypical age of presentation, adolescence. The pathophysiology, etiology, natural history, complications and treatment options for dissecting cellulitis of the scalp are reviewed, and the authors suggest this method of treatment to be efficacious for severe presentations refractory to medical therapy."
2,GARD:0001886,"Late-onset distal myopathy, Markesbery-Griggs type",N/A,N/A,,N/A,N/A
3,GARD:0001887,Distal myopathy with vocal cord weakness,N/A,N/A,,N/A,N/A
4,GARD:0001889,"Distal primary acidosis, familial",N/A,N/A,,N/A,N/A
5,GARD:0001890,Distichiasis heart congenital anomalies,20447153,"[""Research Support, Non-U.S. Gov't"", 'Journal Article']",A new classification system for primary lymphatic dysplasias based on phenotype.,https://pubmed.ncbi.nlm.nih.gov/20447153,"Traditional classification systems for lymphoedema are of limited use for the diagnosis of specific forms of primary lymphoedema. The understanding of primary lymphoedema has been impeded by confusing terminology and a tendency to simply divide patients into three categories based on the age of onset: lymphoedema congenita manifests at or shortly after birth, lymphoedema praecox is apparent before the age of 35 years and lymphoedema tarda manifests thereafter. The clinical presentation in the spectrum of primary lymphoedema disorders is very variable; the phenotypes of primary lymphoedema conditions vary in the age of onset, site of the oedema, inheritance patterns, associated features and genetic causes. Different inheritance patterns are recognised and there are numerous associated anomalies. Some subgroups, such as Milroy disease and Lymphoedema distichiasis, are well characterised, but others are not. A new clinical classification for primary lymphoedema has been developed as a diagnostic algorithm. Its use is demonstrated on 333 probands referred to our lymphoedema clinic. Grouping patients by accurate phenotyping facilitates molecular investigations, understanding of inheritance patterns, and the natural history of different types of primary lymphoedema. Descriptions of the diagnostic categories, some of which have not been previously clearly defined as distinct clinical entities, are illustrated by clinical cases."
6,GARD:0001891,Distomatosis,31863765,"[""Research Support, Non-U.S. Gov't"", 'Journal Article']","Genetic structure and geographical variation of Bithynia siamensis goniomphalos sensu lato (Gastropoda: Bithyniidae), the snail intermediate host of Opisthorchis viverrini sensu lato (Digenea: Opisthorchiidae) in the Lower Mekong Basin revealed by mitochondrial DNA sequences.",https://pubmed.ncbi.nlm.nih.gov/31863765,"The freshwater snail Bithynia siamensis goniomphalos sensu lato is widely distributed in the Lower Mekong Basin where it acts as the first intermediate host of the liver fluke Opisthorchis viverrini, a group 1 carcinogen causing cholangiocarcinoma. This study explores the genetic structure and geographical variation of B. s. goniomphalos from eight previously studied catchments and eight new catchments. These catchments belong to five previously studied catchment systems and one new catchment system (Tonlesap) in the Lower Mekong Basin. Two new catchment systems, Prachin Buri and Bang Pakong from eastern and central Thailand, respectively, were also examined. We collected 289 specimens of B. s. goniomphalos from 15 previously studied localities and 18 new localities in Thailand, Lao PDR (People's Democratic Republic), and Cambodia. The mitochondrial cytochrome c oxidase subunit 1 and 16S ribosomal DNA sequences were used to determine genetic variation. Classification of haplotypes specified 100 at the cox1 locus and 15 at the rrnL locus. Comparison between 16 catchment populations found significant genetic differences (ФST) between all populations. The phylogenetic tree and haplotype network analyses classified B. s. goniomphalos into three evolutionary lineages (lineage I-III). Lineage I contained B. s. goniomphalos from the Mekong, Chi, Mun, Prachin Buri and Bang Pakong catchments in Thailand, including the Nam Ngum catchment in Lao PDR. Lineage II contained all specimens from the Tonlesap catchment, whereas lineage III contained specimens from the Mekong and Sea Bang Heang catchments in Thailand and Lao PDR, respectively. Interestingly, Bithynia siamensis siamensis was placed between lineages I and II of B. s. goniomphalos. This study supports the hypothesis that B. s. goniomphalos is a species complex containing at least three distinct evolutionary lineages in the Lower Mekong Basin, and that comprehensive molecular genetic analyses need to be conducted to further our understanding of the evolutionary and systematic relationships of these Bithynia snail taxa."
7,GARD:0001891,Distomatosis,31782012,['Journal Article'],Are glial cells of the Digenea (Platyhelminthes) muscle cells?,https://pubmed.ncbi.nlm.nih.gov/31782012,"Muscle cells of a digenean fish blood fluke, Aporocotyle simplex, aggregate along the periphery of the cerebral ganglia. Solitary myocytons and sarcoplasmic processes with muscle fibres give rise to long, narrow lamellate projections, which are visible along the periphery and within ganglia. These ultrastructural observations suggest a switching of glial functions to muscle cells and represent additional evidence of the phylogenetic lability of glial cells in bilaterians."
8,GARD:0001891,Distomatosis,31734338,"[""Research Support, Non-U.S. Gov't"", 'Journal Article']",No barrier breakdown between human and cattle schistosome species in the Senegal River Basin in the face of hybridisation.,https://pubmed.ncbi.nlm.nih.gov/31734338,"Schistosomiasis is widely distributed along the Senegal River Basin (SRB), affecting both the human population and their livestock. Damming of the Senegal River for irrigation purposes in the 1980s induced ecological changes that resulted in a large outbreak of Schistosoma mansoni, followed a few years later by an increase and spread of Schistosoma haematobium infections. The presence of hybrid crosses between the human and cattle schistosomes, S. haematobium and Schistosoma bovis, respectively, is adding complexity to the disease epidemiology in this area, and questions the strength of the species boundary between these two species. This study aimed to investigate the epidemiology of S. haematobium, S. bovis and their hybrids along the Senegal River basin using both microsatellite genetic markers and analysis of mitochondrial and nuclear DNA markers. Human schistosome populations with a S. haematobium cox1 mtDNA profile and those with a S. bovis cox1 mtDNA profile (the so-called hybrids) appear to belong to a single randomly mating population, strongly differentiated from the pure S. bovis found in cattle. These results suggest that, in northern Senegal, a strong species boundary persists between human and cattle schistosome species and there is no prolific admixing of the populations. In addition, we found that in the SRB S. haematobium was spatially more differentiated in comparison to S. mansoni. This may be related either to the presence and susceptibility of the intermediate snail hosts, or to the colonisation history of the parasite."
9,GARD:0001891,Distomatosis,31714254,['Journal Article'],"Alpine bullhead (Cottus poecilopus Heckel): a potential refuge for Gyrodactylus salaris Malmberg, 1957 (Monogenea).",https://pubmed.ncbi.nlm.nih.gov/31714254,"The notifiable freshwater pathogen Gyrodactylus salaris Malmberg, 1957 tends to be a generalist in contrast to other monogeneans. Whilst it causes most damage to its primary host, the Atlantic salmon (Salmo salar Linnaeus), transport and reservoir hosts likely play a key role in maintaining the parasite in the environment. Here, we tested the ability of G. salaris (strain River Lierelva, southern Norway) to infect and reproduce on a population of wild caught alpine bullhead (Cottus poecilopus Heckel). Exposure of alpine bullhead yearlings (0+) to G. salaris for 24 h at low (6.5 °C) or high temperature (11.5 °C) resulted in the establishment of 1 to 104 parasites per fish. Eight to nine days post-infection at high temperature, the infection of G. salaris was eliminated, indicative of innate host immunity. In contrast, at low temperature G. salaris infections persisted for 47-48 days. The relative lengthy infection of alpine bullhead with G. salaris compared to other non-salmonids tested may be due to low temperature and high initial infection load in combination with an epibiont infection. The present results suggest that this non-salmonid may function as a temperature-dependent transport or reservoir host for G. salaris."
